SpiderID,Location,Site,Freq_Date,Year,Experiment,Final_Molt,Exp_Date,Exp_Age,Freq_Age,Rest_Days,treatment,Playback,hz100,hz200,hz300,hz400,hz500,hz600,hz700,hz800,hz900,hz1000,Reactions,order1,order2,order3,order4,order5,order6,order7,order8,order9,order10
AP003,Campus,Urban,11/14/22,2022,Choice,8/17/22,9/6/22,20,89,69,,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
AP007,Campus,Urban,11/12/22,2022,Choice,8/22/22,9/6/22,15,82,67,,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
AP010,Campus,Urban,11/3/22,2022,Choice,8/25/22,9/26/22,32,70,38,,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AP011,Campus,Urban,11/3/22,2022,Choice,8/17/22,9/13/22,27,78,51,,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP013,Campus,Urban,11/3/22,2022,Choice,8/22/22,9/19/22,28,73,45,,1,1,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,1
AP016,Campus,Urban,11/7/22,2022,Choice,9/13/22,9/19/22,6,55,49,,4,0,1,0,0,1,0,0,1,0,0,3,0,0,0,1,1,1,0,0,0,0
AP018,Campus,Urban,11/7/22,2022,Choice,9/6/22,9/13/22,7,62,55,,6,0,0,0,1,1,1,1,1,0,0,5,1,0,0,0,1,1,1,1,0,0
AP027,Campus,Urban,11/8/22,2022,Choice,9/6/22,9/19/22,13,63,50,,9,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
AP028,Campus,Urban,11/8/22,2022,Choice,9/2/22,9/26/22,24,67,43,,4,1,0,0,0,0,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0
AP029,Campus,Urban,11/9/22,2022,Choice,8/22/22,9/13/22,22,79,57,,6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP030,Campus,Urban,11/9/22,2022,Choice,8/30/22,9/19/22,20,71,51,,8,0,0,1,1,0,1,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0
AP032,Campus,Urban,11/9/22,2022,Choice,9/13/22,9/26/22,13,57,44,,10,1,1,0,1,1,1,1,1,0,1,8,1,1,1,1,1,1,1,1,0,0
AP033,Campus,Urban,11/10/22,2022,Choice,9/9/22,10/3/22,24,62,38,,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0
AP034,Campus,Urban,11/10/22,2022,Choice,9/2/22,10/3/22,31,69,38,,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AP036,Campus,Urban,11/10/22,2022,Choice,9/2/22,9/26/22,24,69,45,,5,0,0,0,0,1,1,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0
AP039,Campus,Urban,11/10/22,2022,Choice,9/13/22,9/26/22,13,58,45,,6,0,1,1,1,1,0,0,0,0,0,4,1,1,0,1,1,0,0,0,0,0
AP052,Campus,Urban,11/12/22,2022,Choice,8/17/22,9/26/22,40,87,47,,1,1,1,1,1,1,1,1,1,1,0,9,1,1,1,1,1,1,0,1,1,1
AP056,Campus,Urban,11/12/22,2022,Choice,8/30/22,9/6/22,7,74,67,,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AP062,Campus,Urban,11/13/22,2022,Choice,9/6/22,9/19/22,13,68,55,,8,0,0,1,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,1,1,1
AP087,Pope,Rural,11/3/22,2022,Choice,8/30/22,9/6/22,7,65,58,,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
AP088,Pope,Rural,11/3/22,2022,Choice,8/25/22,9/26/22,32,70,38,,1,0,0,0,0,0,0,1,1,1,0,3,1,1,1,0,0,0,0,0,0,0
AP102,Pope,Rural,11/8/22,2022,Choice,9/6/22,9/19/22,13,63,50,,10,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP107,Pope,Rural,11/9/22,2022,Choice,9/2/22,9/26/22,24,68,44,,6,1,1,1,0,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0
AP115,Pope,Rural,11/9/22,2022,Choice,8/22/22,9/6/22,15,79,64,,10,0,1,0,1,1,0,1,0,1,0,5,1,1,0,1,1,0,0,0,1,0
AP124,Pope,Rural,11/11/22,2022,Choice,8/30/22,9/13/22,14,73,59,,10,0,0,0,1,0,0,1,0,1,0,3,1,1,0,0,0,0,0,0,1,0
AP127,Pope,Rural,11/12/22,2022,Choice,9/2/22,9/26/22,24,71,47,,2,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0
AP128,Pope,Rural,11/12/22,2022,Choice,8/22/22,9/13/22,22,82,60,,6,0,0,1,0,1,0,0,1,0,0,3,1,0,0,1,0,0,0,1,0,0
AP138,Herman,Rural,11/12/22,2022,Choice,9/13/22,9/13/22,0,60,60,,4,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0
AP141,Herman,Rural,11/3/22,2022,Choice,8/22/22,9/19/22,28,73,45,,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0
AP144,Herman,Rural,11/12/22,2022,Choice,8/30/22,9/13/22,14,74,60,,3,1,1,0,1,1,0,0,1,0,1,6,1,1,1,1,1,0,0,0,1,0
AP147,Herman,Rural,11/3/22,2022,Choice,9/2/22,9/13/22,11,62,51,,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AP148,Herman,Rural,11/3/22,2022,Choice,9/6/22,10/3/22,27,58,31,,3,0,1,0,0,1,1,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0
AP149,Herman,Rural,11/7/22,2022,Choice,9/6/22,9/26/22,20,62,42,,4,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0
AP150,Herman,Rural,11/7/22,2022,Choice,9/9/22,10/3/22,24,59,35,,6,0,0,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
AP153,Herman,Rural,11/7/22,2022,Choice,8/25/22,9/6/22,12,74,62,,7,0,0,0,1,0,1,0,0,0,1,3,0,1,1,1,0,0,0,0,0,0
AP160,Herman,Rural,11/7/22,2022,Choice,8/22/22,9/6/22,15,77,62,,8,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
AP166,Herman,Rural,11/8/22,2022,Choice,8/25/22,9/6/22,12,75,63,,9,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
AP170,Herman,Rural,11/8/22,2022,Choice,8/25/22,9/26/22,32,75,43,,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP172,Herman,Rural,11/9/22,2022,Choice,9/2/22,9/6/22,4,68,64,,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP175,Herman,Rural,11/9/22,2022,Choice,8/22/22,10/3/22,42,79,37,,9,0,0,0,1,1,1,1,1,0,1,6,1,1,1,1,1,0,0,0,0,1
AP176,Herman,Rural,11/10/22,2022,Choice,9/6/22,9/26/22,20,65,45,,1,0,0,0,0,1,0,1,1,1,1,5,1,1,1,0,0,0,1,1,0,0
AP177,Herman,Rural,11/10/22,2022,Choice,9/2/22,9/26/22,24,69,45,,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
AP179,Herman,Rural,11/10/22,2022,Choice,9/6/22,10/3/22,27,65,38,,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
AP180,Herman,Rural,11/10/22,2022,Choice,9/2/22,10/3/22,31,69,38,,6,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
AP184,Herman,Rural,11/10/22,2022,Choice,8/22/22,10/3/22,42,80,38,,7,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0
AP185,Herman,Rural,11/12/22,2022,Choice,8/22/22,9/19/22,28,82,54,,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AP192,Corman,Urban,11/3/22,2022,Choice,8/22/22,10/3/22,42,73,31,,2,0,0,1,1,1,1,0,0,1,0,5,0,0,1,1,1,0,1,1,0,0
AP197,Corman,Urban,11/7/22,2022,Choice,9/2/22,9/13/22,11,66,55,,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AP200,Corman,Urban,11/7/22,2022,Choice,8/30/22,10/3/22,34,69,35,,7,0,0,0,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0
AP211,Corman,Urban,11/7/22,2022,Choice,9/2/22,9/6/22,4,66,62,,8,0,0,1,1,0,0,1,1,1,0,5,1,0,1,0,0,0,1,0,1,1
AP212,Corman,Urban,11/8/22,2022,Choice,8/25/22,9/6/22,12,75,63,,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
AP213,Corman,Urban,11/8/22,2022,Choice,8/22/22,10/3/22,42,78,36,,5,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0
AP216,Corman,Urban,11/9/22,2022,Choice,8/17/22,9/13/22,27,84,57,,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
AP217,Corman,Urban,11/9/22,2022,Choice,9/6/22,9/19/22,13,64,51,,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AP219,Corman,Urban,11/10/22,2022,Choice,8/17/22,9/13/22,27,85,58,,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AP221,Corman,Urban,11/10/22,2022,Choice,9/9/22,10/3/22,24,62,38,,7,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1
AP230,Corman,Urban,11/12/22,2022,Choice,8/22/22,9/19/22,28,82,54,,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
AP088,Campus,Urban,10/19/23,2023,Transmission,8/26/23,10/7/23,42,54,12,Loud,4,1,0,1,0,0,1,0,1,1,0,5,0,1,1,1,0,0,0,0,1,1
AP089,Campus,Urban,10/19/23,2023,Transmission,8/23/23,10/3/23,41,57,16,Quiet,2,0,1,1,1,1,1,0,0,0,0,5,0,1,1,1,1,0,1,0,0,0
AP090,Campus,Urban,10/19/23,2023,Transmission,8/13/23,9/7/23,25,67,42,Quiet,3,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0
AP098,Campus,Urban,10/19/23,2023,Transmission,8/23/23,10/5/23,43,57,14,Quiet,6,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
AP101,Campus,Urban,10/19/23,2023,Transmission,8/28/23,10/12/23,45,52,7,Quiet,3,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0
AP102,Campus,Urban,10/19/23,2023,Transmission,8/23/23,10/1/23,39,57,18,Loud,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP105,Campus,Urban,10/19/23,2023,Transmission,8/16/23,9/14/23,29,64,35,Quiet,5,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
AP106,Campus,Urban,10/19/23,2023,Transmission,8/20/23,9/17/23,28,60,32,Quiet,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0
AP107,Campus,Urban,10/19/23,2023,Transmission,8/14/23,9/9/23,26,66,40,Loud,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
AP109,Campus,Urban,10/19/23,2023,Transmission,8/23/23,9/29/23,37,57,20,Loud,5,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
AP110,Campus,Urban,10/19/23,2023,Transmission,8/14/23,9/11/23,28,66,38,Quiet,4,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
AP111,Campus,Urban,10/19/23,2023,Transmission,8/23/23,9/30/23,38,57,19,Quiet,10,1,1,1,1,1,1,1,1,1,0,9,1,1,1,1,1,1,0,1,1,1
AP114,Campus,Urban,10/19/23,2023,Transmission,8/23/23,9/25/23,33,57,24,Loud,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AP115,Campus,Urban,10/19/23,2023,Transmission,8/13/23,9/5/23,23,67,44,Loud,2,0,1,0,1,1,0,0,1,1,0,5,1,1,1,1,0,0,0,1,0,0
AP116,Campus,Urban,10/24/23,2023,Transmission,8/25/23,10/7/23,43,60,17,Quiet,8,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
AP118,Campus,Urban,10/24/23,2023,Transmission,8/23/23,9/27/23,35,62,27,Quiet,2,0,1,0,1,1,1,0,1,0,0,5,1,1,1,1,0,0,0,1,0,0
AP119,Campus,Urban,10/24/23,2023,Transmission,8/23/23,9/22/23,30,62,32,Loud,9,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP122,Campus,Urban,10/24/23,2023,Transmission,8/23/23,9/23/23,31,62,31,Loud,7,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,0,0
AP125,Campus,Urban,10/24/23,2023,Transmission,8/25/23,10/5/23,41,60,19,Loud,7,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP128,Campus,Urban,10/24/23,2023,Transmission,9/5/23,10/13/23,38,49,11,Loud,1,0,0,0,0,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0
AP132,Campus,Urban,10/24/23,2023,Transmission,8/28/23,10/11/23,44,57,13,Quiet,9,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP136,Campus,Urban,10/24/23,2023,Transmission,8/14/23,9/11/23,28,71,43,Quiet,10,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
AP140,Pope,Rural,10/20/23,2023,Transmission,8/11/23,9/7/23,27,70,43,Quiet,7,0,0,0,1,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
AP143,Pope,Rural,10/20/23,2023,Transmission,8/23/23,9/30/23,38,58,20,Quiet,3,0,0,1,0,1,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1
AP147,Pope,Rural,10/20/23,2023,Transmission,8/25/23,10/9/23,45,56,11,Quiet,5,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
AP151,Pope,Rural,10/20/23,2023,Transmission,8/16/23,9/5/23,20,65,45,Loud,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP152,Pope,Rural,10/20/23,2023,Transmission,8/23/23,9/6/23,14,58,44,Loud,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
AP154,Pope,Rural,10/20/23,2023,Transmission,8/23/23,9/26/23,34,58,24,Quiet,1,0,0,0,0,0,0,0,1,1,1,3,1,0,1,0,0,0,1,0,0,0
AP159,Pope,Rural,10/25/23,2023,Transmission,8/23/23,10/1/23,39,63,24,Loud,8,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0
AP160,Pope,Rural,10/25/23,2023,Transmission,8/20/23,9/18/23,29,66,37,Quiet,6,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0
AP165,Pope,Rural,10/25/23,2023,Transmission,8/20/23,9/13/23,24,66,42,Quiet,8,1,0,1,1,0,0,0,0,1,0,4,1,0,1,0,0,1,1,0,0,0
AP168,Pope,Rural,10/25/23,2023,Transmission,8/23/23,9/21/23,29,63,34,Loud,9,0,0,0,0,1,0,1,1,0,0,3,0,1,1,1,0,0,0,0,0,0
AP174,Pope,Rural,10/25/23,2023,Transmission,8/20/23,9/15/23,26,66,40,Loud,7,0,0,1,1,0,1,0,0,1,1,5,0,1,1,1,1,1,0,0,0,0
AP175,Pope,Rural,10/25/23,2023,Transmission,8/25/23,10/4/23,40,61,21,Loud,10,0,0,1,1,1,1,1,0,0,0,5,1,1,1,0,1,0,0,0,0,1
AP179,Pope,Rural,10/25/23,2023,Transmission,8/23/23,9/27/23,35,63,28,Quiet,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AP006,Campus,Urban,11/12/22,2022,Web,9/9/22,10/15/22,36,64,28,Quiet,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
AP023,Campus,Urban,11/14/22,2022,Web,8/22/22,11/2/22,72,84,12,Quiet,3,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0
AP049,Campus,Urban,11/15/22,2022,Web,8/12/22,10/21/22,70,95,25,Loud,5,0,0,1,0,0,0,1,0,1,0,3,1,0,1,1,0,0,0,0,0,0
AP054,Campus,Urban,11/12/22,2022,Web,8/5/22,9/26/22,52,99,47,Quiet,3,1,1,0,0,1,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0
AP060,Campus,Urban,11/15/22,2022,Web,8/30/22,10/18/22,49,77,28,Loud,7,1,0,0,1,0,0,0,0,1,1,4,1,1,0,1,0,1,0,0,0,0
AP070,Campus,Urban,11/15/22,2022,Web,8/17/22,11/5/22,80,90,10,Quiet,10,0,0,0,1,0,1,1,0,0,0,3,1,1,1,0,0,0,0,0,0,0
AP089,Pope,Rural,11/14/22,2022,Web,8/25/22,10/30/22,66,81,15,Loud,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP090,Pope,Rural,11/3/22,2022,None,8/22/22,11/5/22,75,73,,,3,0,1,0,1,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0
AP095,Pope,Rural,11/12/22,2022,Web,9/6/22,10/15/22,39,67,28,Loud,5,0,0,0,0,1,0,1,0,1,1,4,1,1,0,1,1,0,1,0,0,0
AP097,Pope,Rural,11/15/22,2022,Web,8/17/22,10/21/22,65,90,25,Loud,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AP111,Pope,Rural,11/9/22,2022,Web,8/25/22,10/18/22,54,76,22,Loud,8,0,0,1,1,1,0,0,0,0,1,4,1,1,1,0,0,0,0,1,0,0
AP116,Pope,Rural,11/10/22,2022,Web,8/25/22,10/3/22,39,77,38,Loud,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP121,Pope,Rural,11/15/22,2022,Web,8/22/22,10/27/22,66,85,19,Quiet,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AP126,Pope,Rural,11/15/22,2022,Web,8/22/22,10/24/22,63,85,22,Quiet,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
AP139,Herman,Rural,11/10/22,2022,None,9/6/22,11/11/22,66,65,,,9,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
AP145,Herman,Rural,11/14/22,2022,Web,9/2/22,10/30/22,58,73,15,Quiet,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,0
AP156,Herman,Rural,11/14/22,2022,Web,8/30/22,10/5/22,36,76,40,Loud,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AP158,Herman,Rural,11/15/22,2022,Web,8/22/22,11/5/22,75,85,10,Loud,4,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
AP168,Herman,Rural,11/12/22,2022,Web,8/17/22,10/8/22,52,87,35,Quiet,7,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
AP173,Herman,Rural,11/15/22,2022,Web,8/22/22,10/21/22,60,85,25,Quiet,10,0,0,0,0,1,1,0,1,1,1,5,0,0,1,0,1,0,1,1,1,0
AP174,Herman,Rural,11/15/22,2022,Web,8/17/22,10/18/22,62,90,28,Quiet,8,0,1,0,0,0,0,1,0,1,1,4,0,1,0,0,1,0,1,0,1,0
AP190,Corman,Urban,11/3/22,2022,Web,9/9/22,10/8/22,29,55,26,Loud,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
AP191,Corman,Urban,11/3/22,2022,Web,9/6/22,10/4/22,28,58,30,Quiet,1,1,1,0,0,0,0,1,0,1,0,4,1,1,0,0,0,1,0,0,0,1
AP218,Corman,Urban,11/10/22,2022,Web,9/2/22,10/21/22,49,69,20,Quiet,2,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0
AP225,Corman,Urban,11/11/22,2022,Web,8/30/22,11/5/22,67,73,6,Loud,10,0,0,1,1,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1
AP231,Corman,Urban,11/15/22,2022,Web,9/9/22,10/30/22,51,67,16,Quiet,9,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
AP094,Pope,Rural,11/7/22,2022,None,8/22/22,,,77,,,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AP122,Pope,Rural,11/10/22,2022,None,8/8/22,,,94,,,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
AP167,Herman,Rural,11/8/22,2022,None,8/9/22,,,91,,,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0