SpiderID,Site,Treatment,Iteration,Tub,Trial,Attacked,Move_Lat,Num_Pauses,Attack_Time,Mistake,Distance_cm,Notes
AP089,Rural,Loud,8,4,3,FALSE,,,,,,
AP097,Rural,Loud,5,1,3,FALSE,,,,,,
AP099,Rural,Loud,11,3,2,FALSE,,,,,,
AP111,Rural,Loud,4,2,1,FALSE,,,,,,
AP111,Rural,Loud,4,2,2,FALSE,,,,,,
AP111,Rural,Loud,4,2,3,FALSE,,,,,,
AP139,Rural,Loud,12,3,3,FALSE,,,,,,
AP140,Rural,Loud,11,4,1,FALSE,,,,,,
AP140,Rural,Loud,11,4,2,FALSE,,,,,,
AP140,Rural,Loud,11,4,3,FALSE,,,,,,
AP158,Rural,Loud,10,3,2,FALSE,,,,,,
AP158,Rural,Loud,10,3,3,FALSE,,,,,,
AP161,Rural,Loud,9,3,2,FALSE,,,,,,
AP161,Rural,Loud,9,3,3,FALSE,,,,,,
AP165,Rural,Loud,7,1,2,FALSE,,,,,,
AP089,Rural,Loud,8,4,2,TRUE,1,11,11,FALSE,9.655,
AP097,Rural,Loud,5,1,1,TRUE,3,3,44,FALSE,7.824,
AP097,Rural,Loud,5,1,2,TRUE,1,3,2,FALSE,5.815,
AP099,Rural,Loud,11,3,1,TRUE,8,9,35,FALSE,8.557,
AP099,Rural,Loud,11,3,3,TRUE,2,5,6,FALSE,7.005,
AP116,Rural,Loud,1,2,1,TRUE,1,1,1,FALSE,7.178,crickets
AP116,Rural,Loud,1,2,3,TRUE,2,3,1,FALSE,8.732,crickets
AP139,Rural,Loud,12,3,1,TRUE,1,11,8,FALSE,5.575,
AP139,Rural,Loud,12,3,2,TRUE,1,5,2,FALSE,8.091,
AP142,Rural,Loud,6,4,1,TRUE,6,5,1,FALSE,8.297,
AP142,Rural,Loud,6,4,2,TRUE,5,7,2,FALSE,5.696,
AP156,Rural,Loud,1,4,1,TRUE,1,1,1,FALSE,2.776,crickets
AP156,Rural,Loud,1,4,2,TRUE,3,5,2,FALSE,4.685,crickets
AP156,Rural,Loud,1,4,3,TRUE,1,2,1,FALSE,8.509,crickets
AP158,Rural,Loud,10,3,1,TRUE,6,16,17,FALSE,10.06,
AP165,Rural,Loud,7,1,1,TRUE,8,5,1,FALSE,13.079,
AP165,Rural,Loud,7,1,3,TRUE,15,3,4,FALSE,7.382,
AP089,Rural,Loud,8,4,1,TRUE,3,8,27,TRUE,10.782,
AP095,Rural,Loud,3,1,1,TRUE,1,20,13,TRUE,9.498,
AP095,Rural,Loud,3,1,2,TRUE,13,10,3,TRUE,8.379,
AP095,Rural,Loud,3,1,3,TRUE,4,11,38,TRUE,7.263,
AP142,Rural,Loud,6,4,3,TRUE,5,4,5,TRUE,10.38,
AP161,Rural,Loud,9,3,1,TRUE,10,21,25,TRUE,11.6,
AP090,Rural,Quiet,10,4,2,FALSE,,,,,,
AP090,Rural,Quiet,10,4,3,FALSE,,,,,,
AP121,Rural,Quiet,7,4,2,FALSE,,,,,,
AP121,Rural,Quiet,7,4,3,FALSE,,,,,,
AP123,Rural,Quiet,2,4,3,FALSE,,,,,,crickets
AP126,Rural,Quiet,6,2,1,FALSE,,,,,,
AP126,Rural,Quiet,6,2,2,FALSE,,,,,,
AP126,Rural,Quiet,6,2,3,FALSE,,,,,,
AP132,Rural,Quiet,12,1,1,FALSE,,,,,,
AP132,Rural,Quiet,12,1,2,FALSE,,,,,,
AP132,Rural,Quiet,12,1,3,FALSE,,,,,,
AP168,Rural,Quiet,2,2,2,FALSE,,,,,,crickets
AP168,Rural,Quiet,2,2,3,FALSE,,,,,,crickets
AP090,Rural,Quiet,10,4,1,TRUE,1,8,2,FALSE,11.458,
AP092,Rural,Quiet,9,1,1,TRUE,1,9,3,FALSE,8.671,
AP092,Rural,Quiet,9,1,2,TRUE,1,12,4,FALSE,10.492,
AP092,Rural,Quiet,9,1,3,TRUE,1,7,3,FALSE,8.37,
AP123,Rural,Quiet,2,4,1,TRUE,7,5,7,FALSE,12.424,crickets
AP123,Rural,Quiet,2,4,2,TRUE,11,6,7,FALSE,7.673,crickets
AP145,Rural,Quiet,8,1,1,TRUE,3,5,2,FALSE,8.403,
AP145,Rural,Quiet,8,1,2,TRUE,3,5,2,FALSE,7.06,
AP145,Rural,Quiet,8,1,3,TRUE,14,6,2,FALSE,13.126,
AP168,Rural,Quiet,2,2,1,TRUE,2,7,26,FALSE,4.742,crickets
AP173,Rural,Quiet,5,2,1,TRUE,1,6,2,FALSE,12.263,
AP173,Rural,Quiet,5,2,2,TRUE,1,9,5,FALSE,11.254,
AP174,Rural,Quiet,4,1,1,TRUE,1,4,1,FALSE,10.097,
AP174,Rural,Quiet,4,1,2,TRUE,1,4,2,FALSE,7.905,
AP174,Rural,Quiet,4,1,3,TRUE,1,5,2,FALSE,8.16,
AP178,Rural,Quiet,3,2,1,TRUE,1,17,6,FALSE,10.272,
AP178,Rural,Quiet,3,2,2,TRUE,7,4,1,FALSE,10.971,
AP178,Rural,Quiet,3,2,3,TRUE,2,8,3,FALSE,8.136,
AP121,Rural,Quiet,7,4,1,TRUE,9,20,21,TRUE,8.404,
AP173,Rural,Quiet,5,2,3,TRUE,3,9,9,TRUE,10.02,
AP005,Urban,Loud,6,3,1,FALSE,,,,,,
AP005,Urban,Loud,6,3,2,FALSE,,,,,,
AP005,Urban,Loud,6,3,3,FALSE,,,,,,
AP025,Urban,Loud,12,2,1,FALSE,,,,,,
AP025,Urban,Loud,12,2,2,FALSE,,,,,,
AP025,Urban,Loud,12,2,3,FALSE,,,,,,
AP049,Urban,Loud,5,4,1,FALSE,,,,,,
AP049,Urban,Loud,5,4,2,FALSE,,,,,,
AP049,Urban,Loud,5,4,3,FALSE,,,,,,
AP053,Urban,Loud,2,3,3,FALSE,,,,,,crickets
AP060,Urban,Loud,4,4,3,FALSE,,,,,,
AP190,Urban,Loud,2,1,1,FALSE,,,,,,crickets
AP190,Urban,Loud,2,1,2,FALSE,,,,,,crickets
AP190,Urban,Loud,2,1,3,FALSE,,,,,,crickets
AP210,Urban,Loud,3,3,2,FALSE,,,,,,
AP210,Urban,Loud,3,3,3,FALSE,,,,,,
AP224,Urban,Loud,9,4,1,FALSE,,,,,,
AP224,Urban,Loud,9,4,2,FALSE,,,,,,
AP224,Urban,Loud,9,4,3,FALSE,,,,,,
AP053,Urban,Loud,2,3,1,TRUE,5,4,1,FALSE,6.416,crickets
AP053,Urban,Loud,2,3,2,TRUE,8,4,2,FALSE,7.335,crickets
AP060,Urban,Loud,4,4,1,TRUE,2,6,4,FALSE,6.058,
AP060,Urban,Loud,4,4,2,TRUE,19,3,2,FALSE,9.232,
AP065,Urban,Loud,8,2,1,TRUE,2,18,15,FALSE,8.113,
AP065,Urban,Loud,8,2,3,TRUE,2,8,2,FALSE,5.314,
AP193,Urban,Loud,7,3,1,TRUE,10,6,1,FALSE,11.486,
AP193,Urban,Loud,7,3,2,TRUE,4,3,1,FALSE,8.26,
AP193,Urban,Loud,7,3,3,TRUE,9,12,35,FALSE,9.99,
AP210,Urban,Loud,3,3,1,TRUE,11,3,2,FALSE,7.093,
AP225,Urban,Loud,10,2,1,TRUE,6,7,9,FALSE,8.949,
AP225,Urban,Loud,10,2,2,TRUE,18,7,11,FALSE,11.16,
AP225,Urban,Loud,10,2,3,TRUE,3,3,32,FALSE,10.741,
AP065,Urban,Loud,8,2,2,TRUE,3,22,30,TRUE,8.89,
AP023,Urban,Quiet,9,2,2,FALSE,,,,,,
AP188,Urban,Quiet,12,4,3,FALSE,,,,,,
AP196,Urban,Quiet,6,1,2,FALSE,,,,,,
AP196,Urban,Quiet,6,1,3,FALSE,,,,,,
AP006,Urban,Quiet,3,4,1,TRUE,1,4,1,FALSE,8.31,
AP006,Urban,Quiet,3,4,2,TRUE,9,6,10,FALSE,7.318,
AP006,Urban,Quiet,3,4,3,TRUE,7,1,2,FALSE,7.023,
AP023,Urban,Quiet,9,2,1,TRUE,11,8,3,FALSE,9.772,
AP023,Urban,Quiet,9,2,3,TRUE,1,5,2,FALSE,8.257,
AP042,Urban,Quiet,7,2,1,TRUE,5,7,4,FALSE,9.865,
AP042,Urban,Quiet,7,2,2,TRUE,2,3,1,FALSE,7.73,
AP042,Urban,Quiet,7,2,3,TRUE,1,3,1,FALSE,6.819,
AP045,Urban,Quiet,11,1,1,TRUE,17,6,1,FALSE,13.235,
AP045,Urban,Quiet,11,1,2,TRUE,1,6,3,FALSE,13.176,
AP045,Urban,Quiet,11,1,3,TRUE,1,5,1,FALSE,11.084,
AP054,Urban,Quiet,1,1,1,TRUE,4,4,2,FALSE,9.396,crickets
AP054,Urban,Quiet,1,1,2,TRUE,4,10,20,FALSE,13.489,crickets
AP054,Urban,Quiet,1,1,3,TRUE,14,5,3,FALSE,7.485,crickets
AP068,Urban,Quiet,11,2,1,TRUE,5,3,2,FALSE,9.25,
AP068,Urban,Quiet,11,2,2,TRUE,9,6,2,FALSE,7.368,
AP068,Urban,Quiet,11,2,3,TRUE,2,10,25,FALSE,6.785,
AP070,Urban,Quiet,10,1,1,TRUE,1,9,3,FALSE,10.881,
AP070,Urban,Quiet,10,1,2,TRUE,1,10,4,FALSE,10.096,
AP070,Urban,Quiet,10,1,3,TRUE,1,2,1,FALSE,8.629,
AP188,Urban,Quiet,12,4,1,TRUE,6,7,2,FALSE,9.721,
AP188,Urban,Quiet,12,4,2,TRUE,14,4,1,FALSE,8.461,
AP196,Urban,Quiet,6,1,1,TRUE,10,8,2,FALSE,10.925,
AP218,Urban,Quiet,5,3,1,TRUE,1,2,1,FALSE,9.885,
AP218,Urban,Quiet,5,3,2,TRUE,9,2,1,FALSE,12.531,
AP218,Urban,Quiet,5,3,3,TRUE,3,5,3,FALSE,10.829,
AP229,Urban,Quiet,4,3,1,TRUE,1,7,2,FALSE,6.805,
AP229,Urban,Quiet,4,3,2,TRUE,3,9,3,FALSE,10.394,
AP229,Urban,Quiet,4,3,3,TRUE,1,26,11,FALSE,5.425,
AP231,Urban,Quiet,8,3,1,TRUE,4,7,3,FALSE,11.746,
AP231,Urban,Quiet,8,3,3,TRUE,21,8,7,FALSE,9.11,
AP231,Urban,Quiet,8,3,2,TRUE,4,11,25,TRUE,13.284,