ID,Site,Age,iterations,treatment,bin,,,,,
AP151,Rural,20,1,Loud,1,,,Remaining,,
AP115,Urban,23,1,Loud,2,,,ID,CurrentAge,Site
AP152,Rural,20,1,Loud,3,,,AP149,16,Rural
AP130,Urban,23,1,Loud,4,,,AP158,16,Rural
AP140,Rural,25,1,Quiet,5,,,AP162,16,Rural
AP090,Urban,23,1,Quiet,6,,,AP163,16,Rural
AP148,Rural,16,2,Loud,1,,,AP181,16,Rural
AP107,Urban,22,2,Loud,2,,,,,
AP169,Rural,16,2,Quiet,3,,,,,
AP110,Urban,22,2,Quiet,4,,,,,
AP155,Rural,16,2,Quiet,5,,,,,
AP136,Urban,22,2,Quiet,6,,,,,
AP167,Rural,16,3,Loud,1,,,,,
AP113,Urban,16,3,Loud,2,,,,,
AP174,Rural,16,3,Loud,3,,,,,
AP134,Urban,16,3,Loud,4,,,,,
AP165,Rural,16,3,Quiet,5,,,,,
AP105,Urban,20,3,Quiet,6,,,,,
AP180,Rural,16,4,Loud,1,,,,,
AP131,Urban,13,4,Loud,2,,,,,
AP156,Rural,16,4,Quiet,3,,,,,
AP138,Urban,13,4,Quiet,4,,,,,
AP160,Rural,16,4,Quiet,5,,,,,
AP106,Urban,16,4,Quiet,6,,,,,
AP171,Rural,13,5,Loud,1,,,,,
AP119,Urban,13,5,Loud,2,,,,,
AP168,Rural,13,5,Loud,3,,,,,
AP122,Urban,13,5,Loud,4,,,,,
AP157,Rural,13,5,Quiet,5,,,,,
AP124,Urban,13,5,Quiet,6,,,,,
AP146,Rural,13,6,Loud,1,,,,,
AP114,Urban,13,6,Loud,2,,,,,
AP179,Rural,13,6,Quiet,3,,,,,
AP117,Urban,13,6,Quiet,4,,,,,
AP154,Rural,13,6,Quiet,5,,,,,
AP118,Urban,13,6,Quiet,6,,,,,
AP141,Rural,13,7,Loud,1,,,,,
AP102,Urban,13,7,Loud,2,,,,,
AP159,Rural,13,7,Loud,3,,,,,
AP109,Urban,13,7,Loud,4,,,,,
AP143,Rural,13,7,Quiet,5,,,,,
AP111,Urban,13,7,Quiet,6,,,,,
AP175,Rural,11,8,Loud,1,,,,,
AP125,Urban,11,8,Loud,2,,,,,
AP145,Rural,11,8,Quiet,3,,,,,
AP089,Urban,13,8,Quiet,4,,,,,
AP170,Rural,12,8,Quiet,5,,,,,
AP098,Urban,13,8,Quiet,6,,,,,
AP176,Rural,8,9,Loud,1,,,,,
AP088,Urban,10,9,Loud,2,,,,,
AP173,Rural,11,9,Loud,3,,,,,
AP133,Urban,10,9,Loud,4,,,,,
AP147,Rural,11,9,Quiet,5,,,,,
AP116,Urban,11,9,Quiet,6,,,,,
AP150,Rural,3,10,Loud,1,,,,,
AP128,Urban,0,10,Loud,2,,,,,
AP178,Rural,8,10,Quiet,3,,,,,
AP101,Urban,8,10,Quiet,4,,,,,
AP144,Rural,8,10,Quiet,5,,,,,
AP132,Urban,8,10,Quiet,6,,,,,